"","Treated","Synthetic","Sample Mean"
"agriculture",35.642,37.059,13.467
"industry",11.011,17.995,25.781
"govt_share",0.269,0.172,0.231
"invest_share",0.102,0.185,0.216
"oda_share",126030515.075,192234158.43,35186405.937
"fdi",0.713,1.22,3.101
"labour",30.686,40.303,34.535
"polity2",-1.5,-4.45,0.014
"special.gdp_selected.1980",713.923,1062.107,5879.343
"special.gdp_selected.1985",1003.879,1257.59,6197.831
"special.gdp_selected.1990",749.768,1453.871,7433.553
"special.gdp_selected.1995",973.892,1642.826,8422.343
"special.gdp_selected.2001",1471.311,2028.997,9028.519
