"","Treated","Synthetic","Sample Mean"
"agriculture",35.744,36.396,20.113
"industry",20.701,20.336,24.191
"govt_share",0.246,0.146,0.213
"invest_share",0.135,0.144,0.192
"oda_share",104870761.053,104805716.746,69969689.83
"fdi",0.337,0.52,2.401
"labour",41.993,41.677,35.004
"polity2",-2.045,-2.036,-0.936
"special.gdp_selected.1980",1954.884,1872.149,4678.967
"special.gdp_selected.1985",1345.55,1633.563,4891.134
"special.gdp_selected.1990",1210.162,1248.432,5653.855
"special.gdp_selected.1995",1123.646,1025.4,6283.41
"special.gdp_selected.2001",1089.284,1117.139,6672.789
