"","Treated","Synthetic","Sample Mean"
"agriculture",18.972,20.918,20.113
"industry",22.172,27.703,24.191
"govt_share",0.203,0.261,0.213
"invest_share",0.061,0.08,0.192
"oda_share",69291797.314,108424492.398,69969689.83
"fdi",0.603,2.468,2.401
"labour",32.449,35.505,35.004
"polity2",-0.227,-0.808,-0.936
"special.gdp_selected.1980",2315.469,2572.539,4678.967
"special.gdp_selected.1985",2973.07,2857.784,4891.134
"special.gdp_selected.1990",2876.114,2848.496,5653.855
"special.gdp_selected.1995",2543.297,2671.03,6283.41
"special.gdp_selected.2001",2840.469,2761.873,6672.789
