"","Treated","Synthetic","Sample Mean"
"agriculture",36.301,28.738,13.467
"industry",13.135,21.305,25.781
"govt_share",0.061,0.134,0.231
"invest_share",0.074,0.134,0.216
"oda_share",85396874.614,463605302.894,35186405.937
"fdi",2.757,0.088,3.101
"labour",38.938,31.233,34.535
"polity2",-2.545,0.227,0.014
"special.gdp_selected.1980",910.789,1333.432,5879.343
"special.gdp_selected.1985",1218.288,1393.286,6197.831
"special.gdp_selected.1990",1196.39,1531.382,7433.553
"special.gdp_selected.1995",1160.876,1648.079,8422.343
"special.gdp_selected.2001",1084.189,1535.84,9028.519
