"","Treated","Synthetic","Sample Mean"
"agriculture",23.502,28.178,13.467
"industry",24.211,21.725,25.781
"govt_share",0.163,0.14,0.231
"invest_share",0.202,0.138,0.216
"oda_share",30124870.364,437725101.149,35186405.937
"fdi",0.64,0.156,3.101
"labour",39.99,31.316,34.535
"polity2",-4.773,0.71,0.014
"special.gdp_selected.1980",2424.612,1707.356,5879.343
"special.gdp_selected.1985",1652.177,1715.855,6197.831
"special.gdp_selected.1990",1899.938,1795.737,7433.553
"special.gdp_selected.1995",1481.604,1876.465,8422.343
"special.gdp_selected.2001",1452.282,1778.023,9028.519
