"donor_label","Benin","Burkina Faso","Côte d'Ivoire","Mali","Niger","Senegal","Togo","Cameroon","Central African Republic","Chad","Republic of Congo","Gabon","Equatorial Guinea"
"Bangladesh",0.949,0.84,0.821,0.352,1,0.537,0.942,0.613,1,1,0.764,0,0
"Barbados",0,0,0,0,0,0,0,0,0,0,0,0.117,0
"Bhutan",0,0,0,0,0,0,0,0,0,0,0,0,0
"Bolivia",0,0,0.001,0,0,0.21,0,0.033,0,0,0,0,0
"Botswana",0,0,0,0,0,0,0,0,0,0,0,0,0.35
"Cabo Verde",0,0,0,0,0,0,0,0,0,0,0,0,0.588
"Dominica",0,0,0,0,0,0,0,0,0,0,0,0,0
"Ecuador",0,0,0.083,0,0,0,0,0,0,0,0.029,0.028,0
"Eswatini",0,0,0,0,0,0,0,0,0,0,0,0,0
"Grenada",0,0,0,0,0,0,0,0,0,0,0,0,0
"Lao PDR",0,0.16,0.001,0.648,0,0.079,0,0.187,0,0,0.019,0,0
"Lesotho",0,0,0,0,0,0,0,0,0,0,0,0,0
"Mauritius",0,0,0,0,0,0,0,0,0,0,0,0,0
"Morocco",0,0,0,0,0,0.073,0,0,0,0,0,0,0
"Namibia",0,0,0.045,0,0,0,0,0.001,0,0,0,0,0
"St. Kitts and Nevis",0,0,0,0,0,0,0,0,0,0,0,0,0
"St. Lucia",0,0,0,0,0,0,0,0,0,0,0,0,0
"Seychelles",0,0,0,0,0,0,0,0,0,0,0,0.066,0
"Turkmenistan",0,0,0.05,0,0,0.099,0.001,0.127,0,0,0.186,0.789,0
"Guyana",0,0,0,0,0,0,0,0,0,0,0,0,0
"Iraq",0.051,0,0,0,0,0,0.057,0.039,0,0,0.002,0,0.062
